Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Grenada,9,,|,macedonia,1,-759
Grenada,10,1,|,macedonia,1,0
Grenada,12,2,|,macedonia,1,0
Grenada,12,0,|,macedonia,1,0
Grenada,12,0,|,macedonia,1,0
Grenada,12,0,|,macedonia,1,0
Grenada,12,0,|,macedonia,1,0
Grenada,12,0,|,macedonia,1,0
Grenada,12,0,|,macedonia,1,0
Grenada,14,2,|,macedonia,3,2
Grenada,,,|,macedonia,3,0
Grenada,,,|,macedonia,3,0
Grenada,,,|,macedonia,3,0
Grenada,,,|,macedonia,7,4
Grenada,,,|,macedonia,7,0
Grenada,,,|,macedonia,7,0
Grenada,,,|,macedonia,14,7
Grenada,,,|,macedonia,14,0
Grenada,,,|,macedonia,14,0
Grenada,,,|,macedonia,18,4
Grenada,,,|,macedonia,26,8
Grenada,,,|,macedonia,35,9
Grenada,,,|,macedonia,48,13
Grenada,,,|,macedonia,67,19
Grenada,,,|,macedonia,85,18
Grenada,,,|,macedonia,115,30
Grenada,,,|,macedonia,136,21
Grenada,,,|,macedonia,148,12
Grenada,,,|,macedonia,177,29
Grenada,,,|,macedonia,201,24
Grenada,,,|,macedonia,219,18
Grenada,,,|,macedonia,241,22
Grenada,,,|,macedonia,259,18
Grenada,,,|,macedonia,285,26
Grenada,,,|,macedonia,329,44
Grenada,,,|,macedonia,354,25
Grenada,,,|,macedonia,384,30
Grenada,,,|,macedonia,430,46
Grenada,,,|,macedonia,483,53
Grenada,,,|,macedonia,555,72
Grenada,,,|,macedonia,570,15
Grenada,,,|,macedonia,599,29
Grenada,,,|,macedonia,617,18
Grenada,,,|,macedonia,663,46
Grenada,,,|,macedonia,711,48
Grenada,,,|,macedonia,760,49
